trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name
30,SPAN,202,C,INTERMEDIATE SPANISH II,3,M,,W,,F,12:00:00 PM,12:50:00 PM,Carruth,Melissa
30,SPAN,202,D,INTERMEDIATE SPANISH II,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Carruth,Melissa
30,SPAN,295,A,SPANISH LANGUAGE AND CULTURE,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Ligo,Carla
10,SPAN,301,A,INTRODUCTION TO LITERATURE,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Carruth,Melissa
30,SPAN,303,A,CONVERSATION,3,,T,,R,,2:30:00 PM,3:45:00 PM,Carruth,Melissa
30,SPAN,305,A,APPLIED PHONETICS,3,,T,,R,,10:05:00 AM,11:20:00 AM,Forteza,Deborah
10,SPAN,306,A,ADVANCED COMMUNICATION,3,,T,,R,,1:00:00 PM,2:15:00 PM,Forteza,Deborah
10,SPAN,306,A,ADVANCED COMMUNICATION,3,,,,,,,,Forteza,Deborah
30,SPAN,316,A,BUSINESS CULTURE IN HISPANIC WORLD,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Carruth,Melissa
30,SPAN,320,A,CONTEMPORARY SPAIN,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Forteza,Deborah
10,SPAN,325,A,INDEPEND NATIONAL IDENT IN LATIN AM,3,,T,,R,,10:05:00 AM,11:20:00 AM,Carruth,Melissa
10,SPAN,340,A,ADVANCED GRAMMAR,3,M,,,,,6:30:00 PM,9:00:00 PM,Shidemantle,Wendy
30,SPAN,362,A,ASPECTS-LANGUAGE LEARNING,2,M,,W,,,2:00:00 PM,2:50:00 PM,Senita,Karyn
10,SPAN,424,A,HISPANICS IN THE U.S.,3,,T,,R,,11:30:00 AM,12:45:00 PM,Forteza,Deborah
10,SPAN,424,A,HISPANICS IN THE U.S.,3,,,,,,,,Forteza,Deborah
30,SSFT,210,A,SCIENCE AND RELIGION,2,M,,W,,,9:00:00 AM,9:50:00 AM,Seybold,Kevin
10,SSFT,210,A,SCIENCE AND RELIGION,2,M,,,,,6:30:00 PM,8:10:00 PM,Seybold,Kevin
30,SSFT,212,A,"SCIENCE, FAITH, AND TECHNOLOGY",2,M,,W,,,10:00:00 AM,10:50:00 AM,Dudt,Jan
10,SSFT,212,A,"SCIENCE, FAITH, AND TECHNOLOGY",2,M,,W,,,9:00:00 AM,9:50:00 AM,Dudt,Jan
30,SSFT,212,B,"SCIENCE, FAITH, AND TECHNOLOGY",2,,,W,,F,1:00:00 PM,1:50:00 PM,Marsch,Glenn
10,SSFT,212,B,"SCIENCE, FAITH, AND TECHNOLOGY",2,M,,W,,,1:00:00 PM,1:50:00 PM,Dudt,Jan
30,SSFT,212,C,"SCIENCE, FAITH, AND TECHNOLOGY",2,,,W,,F,2:00:00 PM,2:50:00 PM,Marsch,Glenn
10,SSFT,212,C,"SCIENCE, FAITH, AND TECHNOLOGY",2,,,W,,F,11:00:00 AM,11:50:00 AM,Marsch,Glenn
10,SSFT,212,D,"SCIENCE, FAITH, AND TECHNOLOGY",2,,,W,,F,12:00:00 PM,12:50:00 PM,Marsch,Glenn
10,SSFT,212,E,"SCIENCE, FAITH, AND TECHNOLOGY",2,,T,,R,,10:05:00 AM,11:20:00 AM,Anderson,Erik
10,SSFT,212,F,"SCIENCE, FAITH, AND TECHNOLOGY",2,,T,,R,,11:30:00 AM,12:45:00 PM,Anderson,Erik
10,SSFT,212,G,"SCIENCE, FAITH, AND TECHNOLOGY",2,,,,,,,,Anderson,Erik
30,THEA,251,A,ACTING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Craig,Betsy
30,THEA,251,A,ACTING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Craig,Betsy
30,THEA,259,A,THEATRE PRACTICUM,1,,,,,,,,Wolfe,Daniel
10,THEA,259,A,THEATRE PRACTICUM,1,,,,,,,,Wolfe,Daniel
10,THEA,261,A,STAGECRAFT,3,,T,,R,,2:30:00 PM,3:45:00 PM,Wolfe,Daniel
30,THEA,261,A,STAGECRAFT,3,,T,,R,,2:30:00 PM,3:45:00 PM,Wolfe,Daniel
10,THEA,290,A,STUDY: DRAMATURGY,3,,T,,R,,1:00:00 PM,2:15:00 PM,Craig,Betsy
30,THEA,320,A,STAGE DIRECTION,3,,T,,R,,2:30:00 PM,3:45:00 PM,Craig,Betsy
30,THEA,320,A,STAGE DIRECTION,3,,T,,R,,2:30:00 PM,3:45:00 PM,Craig,Betsy
10,THEA,384,A,PLAYWRITING,3,,T,,R,,2:30:00 PM,3:45:00 PM,Craig,Betsy
10,WRIT,101,A,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,8:00:00 AM,8:50:00 AM,Loretto,Adam
30,WRIT,101,A,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Loretto,Adam
10,WRIT,101,B,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Loretto,Adam
10,WRIT,101,C,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Hogsette,David
10,WRIT,101,C,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Hogsette,David
10,WRIT,101,D,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Hogsette,David
10,WRIT,101,D,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Hogsette,David
30,WRIT,101,D,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Harvey,Andrew
30,WRIT,101,E,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Loretto,Adam
10,WRIT,101,F,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,3:00:00 PM,3:50:00 PM,Rine,C
10,WRIT,101,F,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Rine,C
30,WRIT,101,F,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Mayo,Joshua
10,WRIT,101,G,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,T,,R,,10:05:00 AM,11:20:00 AM,Rine,C
10,WRIT,101,G,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Rine,C
30,WRIT,101,G,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,3:00:00 PM,3:50:00 PM,Rine,C
10,WRIT,101,H,FOUNDATIONS OF ACADEMIC DISCOURSE,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Rine,C
10,WRIT,101,H,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Rine,C
30,WRIT,101,H,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,T,,R,,10:05:00 AM,11:20:00 AM,Mayo,Joshua
30,WRIT,101,I,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,T,,R,,10:05:00 AM,11:20:00 AM,Rine,C
10,WRIT,101,J,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,T,,R,,2:30:00 PM,3:45:00 PM,Mayo,Joshua
30,WRIT,101,J,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,T,,R,,11:30:00 AM,12:45:00 PM,Rine,C
30,WRIT,101,K,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,T,,R,,2:30:00 PM,3:45:00 PM,Mayo,Joshua
10,WRIT,101,O,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Loretto,Adam
30,WRIT,101,O,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Jackson,Tracy
10,WRIT,101,P,FOUNDATIONS OF ACADEMIC DISCOURSE,3,,,,,,,,Jackson,Tracy
30,WRIT,271,A,CREATIVE WRITING,3,,T,,R,,11:30:00 AM,12:45:00 PM,Potter,Eric
30,WRIT,271,O,CREATIVE WRITING,3,,,,,,,,Potter,Eric
30,WRIT,272,A,DEVELOPING CHARACTERS,3,,T,,R,,10:05:00 AM,11:20:00 AM,Miller,Kimberly
30,WRIT,281,A,CREATIVE NON-FICTION,3,,T,,R,,2:30:00 PM,3:45:00 PM,Harvey,Andrew
10,WRIT,320,A,PROFESSIONAL EDITING,3,,T,,R,,11:30:00 AM,12:45:00 PM,Rine,C
30,WRIT,359,A,SCREENWRITING,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Miller,Kimberly
10,WRIT,390,A,STUDY: POLITICAL WRITING,3,,,W,,,6:30:00 PM,9:00:00 PM,Cost,Jay
